pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
365.02,349.06,310.01,212.86,188.28,138.54,161.84,99.12,392.121759,440.677356
365.02,349.06,309.79,212.99,187.25,139.85,160.91,100.23,393.360678,441.271848
365.14,349.17,309.34,213.06,186.26,140.85,160.08,101.36,392.328245,440.974602
365.14,349.17,308.98,213.17,185.25,142.01,159.15,102.43,390.88284,440.825979
365.14,349.18,308.83,213.27,184.25,143.16,158.1,103.77,391.502299,441.717718
365.14,349.19,308.67,213.36,183.32,144.35,157.13,104.96,391.502299,442.163588
365.18,349.26,308.5,213.42,182.36,145.73,156.13,106.14,390.676353,442.014965
365.23,349.34,308.22,213.47,181.56,146.96,155.11,107.35,391.089326,442.609458
365.35,349.35,308.22,213.73,180.74,148.15,154.05,108.67,392.328245,442.014965
365.35,349.44,308.15,213.75,179.91,149.48,152.9,110.18,391.915272,443.20395
365.34,349.71,308.1,213.77,178.97,150.86,151.89,111.45,392.534732,443.947067
365.37,349.83,308.08,213.79,178.14,152.1,150.83,112.85,392.328245,444.09569
365.38,349.93,308.06,213.8,177.41,153.34,149.79,114.26,391.915272,444.09569
365.39,349.93,308.06,213.83,176.75,154.83,148.73,115.76,392.741218,444.09569
365.46,350.13,308.06,213.88,176.02,156.02,147.73,117.27,392.121759,443.352574
365.66,350.18,308.08,213.89,175.31,157.35,146.67,118.77,394.186624,443.798443
365.68,350.29,308.12,213.93,174.68,158.76,145.79,120.24,395.01257,444.690183
365.68,350.41,308.15,213.97,174.06,159.97,144.7,121.82,393.154191,444.838806
365.69,350.73,308.19,214.01,173.56,161.36,143.82,123.3,394.39311,444.690183
365.69,350.84,308.21,214.03,173.02,162.83,142.92,124.88,395.632029,444.54156
365.69,351.01,308.23,214.06,172.44,164.04,141.98,126.51,393.980137,445.284676
365.68,351.09,308.26,214.07,172.05,165.5,141.19,128.03,393.360678,445.433299
365.68,351.29,308.35,214.12,171.52,166.92,140.4,129.75,394.186624,445.730545
365.68,351.52,308.43,214.19,171.11,168.21,139.73,131.35,394.599597,445.581922
365.63,351.84,308.64,214.21,170.88,169.84,138.99,133.01,393.567164,447.068154
365.49,352.09,308.69,214.22,170.39,171.03,138.27,134.68,392.947705,445.730545
365.28,352.28,308.85,214.35,170.1,172.31,137.8,136.25,392.328245,446.027792
365.26,352.49,308.87,214.37,169.9,173.78,137.16,137.97,393.154191,446.770908
365.25,352.89,309.02,214.39,169.67,175.12,136.78,139.71,393.154191,446.919531
365.2,353.11,309.15,214.43,169.5,176.59,136.26,141.18,391.915272,447.216778
365.15,353.35,309.29,214.49,169.31,177.92,135.92,142.87,391.295813,447.514024
365.09,353.79,309.48,214.76,169.24,179.23,135.58,144.55,390.88284,447.811271
365.02,353.99,309.8,214.91,169.15,180.59,135.18,146.11,391.089326,447.514024
364.95,354.19,309.98,214.9,169.14,182.03,134.92,147.8,390.26338,448.70301
364.84,354.4,310.19,214.98,169.16,183.24,134.78,149.3,389.230948,449.14888
364.76,354.81,310.46,215.06,169.15,184.75,134.66,151.01,389.230948,449.743373
364.69,355.05,310.91,215.17,169.36,186.05,134.6,152.54,390.469867,450.337865
364.66,355.27,311.17,215.28,169.71,187.26,134.5,154.06,387.579056,451.229605
364.58,355.61,311.5,215.33,169.92,188.48,134.36,155.72,387.579056,451.229605
364.46,356.07,312.03,215.4,170.16,189.82,134.35,157.09,388.405002,451.229605
364.18,356.36,312.56,215.51,170.3,191.07,134.46,158.78,385.307705,451.378228
364.07,356.57,312.91,215.79,170.73,192.31,134.61,160.15,385.927164,451.526851
363.98,356.82,313.38,215.81,170.98,193.62,134.8,161.76,384.894732,451.972721
363.88,357.02,314.11,215.83,171.45,194.79,135,163.14,385.307705,451.972721
363.78,357.25,314.72,215.91,171.96,195.99,135.16,164.63,386.75311,452.715837
363.68,357.56,315.31,215.92,172.4,196.99,135.61,166.03,384.275272,453.31033
363.6,357.93,316.11,215.92,172.98,198.18,135.93,167.43,384.481759,453.31033
363.41,358,316.82,215.8,173.53,199.32,136.18,168.84,385.514191,453.458953
363.25,358.32,317.61,215.8,174.16,200.54,136.68,170.24,386.546624,453.7562
363.04,358.65,318.19,215.8,174.8,201.58,137.15,171.6,385.657742,453.785781
362.86,358.76,319.02,215.58,175.41,202.76,137.74,173.01,387.51612,453.785781
362.78,358.95,319.87,215.24,176.15,203.81,138.29,174.19,388.224854,453.918194
362.7,359.13,320.68,215.21,176.96,204.94,138.92,175.51,388.622203,453.918194
362.6,359.24,321.25,215.2,177.66,205.92,139.54,176.89,388.489753,453.536859
362.46,359.35,322.15,215.01,178.36,207.07,140.15,178.11,389.98172,453.116335
362.13,359.55,322.98,214.84,179.2,208.03,140.91,179.34,391.592804,453.116335
361.99,359.9,323.89,214.84,180.14,209.03,141.69,180.75,394.00943,452.753956
361.8,360.08,324.86,214.6,181.07,210.12,142.35,181.91,391.894883,452.609004
361.8,360.08,325.66,214.31,181.97,211.13,143.11,183.04,393.606659,452.391576
361.63,360.19,326.43,214.12,182.86,212.06,143.94,184.23,390.887955,451.884245
361.24,360.31,327.24,214.04,183.86,213.06,144.85,185.48,391.894883,451.884245
361.13,360.42,328.19,213.93,184.88,213.93,145.72,186.81,392.90181,451.884245
361.04,360.73,329.18,213.82,185.87,214.86,146.62,187.81,393.002503,451.884245
360.93,360.75,330.11,213.61,186.9,215.93,147.53,188.91,393.908738,451.884245
360.82,360.77,331.11,213.33,187.96,216.82,148.53,189.97,393.332327,452.448191
