4841,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.0058,85.04823,81.30585,154.6907,146.6,44.03383,155.8896,129.7813,116.1447,136.2847,149.4021
0.0059,85.04524,81.30317,154.6103,146.6424,43.98547,155.8644,129.7578,116.0616,136.2888,149.4934
0.006,85.04223,81.30047,154.5299,146.6848,43.93727,155.8389,129.7342,115.9783,136.2929,149.5842
0.0061,85.0392,81.29776,154.4494,146.7271,43.88924,155.8133,129.7107,115.8949,136.297,149.6746
0.0062,85.03617,81.29505,154.3688,146.7693,43.84138,155.7875,129.6872,115.8113,136.301,149.7646
0.0063,85.03312,81.29233,154.2882,146.8116,43.79368,155.7616,129.6636,115.7275,136.3051,149.8541
0.0064,85.03005,81.28959,154.2076,146.8538,43.74615,155.7354,129.6401,115.6436,136.3091,149.9432
0.0065,85.02697,81.28685,154.1268,146.8959,43.69878,155.7091,129.6166,115.5595,136.3132,150.0318
0.0066,85.02388,81.2841,154.046,146.938,43.65159,155.6827,129.5931,115.4753,136.3172,150.12
0.0067,85.02077,81.28133,153.9652,146.9801,43.60455,155.656,129.5695,115.3909,136.3212,150.2077
0.0068,85.01765,81.27856,153.8843,147.0221,43.55769,155.6292,129.546,115.3064,136.3251,150.2949
0.0069,85.01452,81.27577,153.8033,147.0641,43.51099,155.6022,129.5225,115.2217,136.3291,150.3817
0.007,85.01137,81.27298,153.7223,147.106,43.46447,155.575,129.499,115.1369,136.3331,150.4679
0.0071,85.00821,81.27018,153.6412,147.1479,43.41811,155.5476,129.4755,115.052,136.337,150.5537
0.0072,85.00503,81.26736,153.56,147.1897,43.37191,155.5201,129.452,114.967,136.3409,150.639
0.0073,85.00185,81.26453,153.4788,147.2315,43.32589,155.4924,129.4285,114.8818,136.3449,150.7239
0.0074,84.99864,81.2617,153.3975,147.2733,43.28003,155.4645,129.405,114.7965,136.3488,150.8082
0.0075,84.99543,81.25885,153.3162,147.315,43.23435,155.4364,129.3815,114.7112,136.3526,150.892
0.0076,84.9922,81.25599,153.2348,147.3566,43.18883,155.4081,129.358,114.6257,136.3565,150.9753
0.0077,84.98896,81.25312,153.1533,147.3982,43.14348,155.3797,129.3345,114.5401,136.3604,151.0582
0.0078,84.9857,81.25023,153.0718,147.4397,43.0983,155.3511,129.311,114.4544,136.3642,151.1405
0.0079,84.98244,81.24734,152.9902,147.4812,43.05329,155.3223,129.2875,114.3687,136.368,151.2222
0.008,84.97915,81.24443,152.9086,147.5226,43.00846,155.2934,129.264,114.2829,136.3719,151.3035
0.0081,84.97586,81.24152,152.8269,147.564,42.96379,155.2643,129.2405,114.197,136.3756,151.3842
0.0082,84.97255,81.23859,152.7451,147.6053,42.91929,155.2349,129.217,114.111,136.3794,151.4645
0.0083,84.96923,81.23564,152.6633,147.6466,42.87496,155.2055,129.1935,114.0249,136.3832,151.5441
0.0084,84.9659,81.23269,152.5814,147.6878,42.83081,155.1758,129.1701,113.9388,136.387,151.6233
0.0085,84.96256,81.22972,152.4995,147.7289,42.78682,155.1459,129.1466,113.8526,136.3907,151.7019
0.0086,84.9592,81.22674,152.4175,147.77,42.74301,155.1159,129.1231,113.7664,136.3944,151.7799
0.0087,84.95583,81.22375,152.3354,147.811,42.69937,155.0857,129.0997,113.6801,136.3981,151.8574
0.0088,84.95245,81.22074,152.2533,147.852,42.6559,155.0554,129.0762,113.5938,136.4018,151.9344
0.0089,84.94905,81.21773,152.1711,147.8929,42.6126,155.0248,129.0527,113.5075,136.4055,152.0108
0.009,84.94565,81.21469,152.0888,147.9337,42.56948,154.9941,129.0293,113.4211,136.4092,152.0866
0.0091,84.94223,81.21165,152.0065,147.9745,42.52653,154.9632,129.0058,113.3347,136.4128,152.1619
0.0092,84.9388,81.20859,151.9241,148.0152,42.48375,154.9321,128.9824,113.2482,136.4164,152.2366
0.0093,84.93536,81.20552,151.8417,148.0559,42.44115,154.9008,128.959,113.1618,136.42,152.3108
0.0094,84.9319,81.20244,151.7592,148.0965,42.39872,154.8694,128.9355,113.0753,136.4236,152.3843
0.0095,84.92844,81.19934,151.6766,148.137,42.35646,154.8378,128.9121,112.9888,136.4272,152.4573
0.0096,84.92496,81.19623,151.594,148.1775,42.31438,154.806,128.8887,112.9023,136.4308,152.5297
0.0097,84.92147,81.1931,151.5113,148.2178,42.27247,154.774,128.8652,112.8158,136.4343,152.6016
0.0098,84.91798,81.18996,151.4286,148.2582,42.23073,154.7419,128.8418,112.7294,136.4379,152.6728
0.0099,84.91447,81.1868,151.3458,148.2984,42.18917,154.7095,128.8184,112.6429,136.4414,152.7435
0.01,84.91094,81.18364,151.2629,148.3386,42.14779,154.6771,128.795,112.5564,136.4449,152.8135
0.0101,84.90741,81.18045,151.18,148.3787,42.10658,154.6444,128.7716,112.47,136.4484,152.883
0.0102,84.90387,81.17726,151.097,148.4187,42.06555,154.6115,128.7482,112.3835,136.4519,152.9518
0.0103,84.90032,81.17404,151.0139,148.4587,42.0247,154.5785,128.7248,112.2971,136.4553,153.0201
0.0104,84.89675,81.17082,150.9308,148.4986,41.98402,154.5453,128.7014,112.2108,136.4588,153.0878
0.0105,84.89318,81.16758,150.8476,148.5384,41.94351,154.512,128.678,112.1244,136.4622,153.1548
0.0106,84.8896,81.16432,150.7644,148.5782,41.90319,154.4784,128.6546,112.0381,136.4656,153.2213
0.0107,84.886,81.16105,150.6811,148.6179,41.86304,154.4447,128.6313,111.9519,136.469,153.2871
0.0108,84.8824,81.15776,150.5977,148.6575,41.82307,154.4108,128.6079,111.8657,136.4723,153.3524
0.0109,84.87879,81.15446,150.5143,148.697,41.78327,154.3767,128.5845,111.7795,136.4757,153.417
0.011,84.87516,81.15115,150.4308,148.7365,41.74366,154.3425,128.5612,111.6935,136.479,153.481
0.0111,84.87153,81.14782,150.3473,148.7758,41.70422,154.3081,128.5379,111.6074,136.4823,153.5443
0.0112,84.86789,81.14447,150.2637,148.8151,41.66496,154.2735,128.5145,111.5215,136.4856,153.6071
0.0113,84.86424,81.14111,150.18,148.8544,41.62589,154.2388,128.4912,111.4356,136.4889,153.6692
0.0114,84.86058,81.13773,150.0963,148.8935,41.58699,154.2038,128.4679,111.3498,136.4922,153.7307
0.0115,84.85692,81.13433,150.0125,148.9326,41.54827,154.1687,128.4445,111.264,136.4954,153.7916
0.0116,84.85324,81.13092,149.9287,148.9716,41.50973,154.1335,128.4212,111.1784,136.4987,153.8519
0.0117,84.84956,81.1275,149.8448,149.0105,41.47137,154.098,128.3979,111.0928,136.5019,153.9115
0.0118,84.84587,81.12406,149.7608,149.0493,41.43319,154.0624,128.3746,111.0073,136.5051,153.9705
0.0119,84.84217,81.1206,149.6768,149.0881,41.39519,154.0267,128.3513,110.9219,136.5083,154.0288
0.012,84.83846,81.11713,149.5927,149.1268,41.35737,153.9907,128.3281,110.8366,136.5114,154.0865
0.0121,84.83474,81.11364,149.5085,149.1653,41.31974,153.9546,128.3048,110.7515,136.5146,154.1436
0.0122,84.83102,81.11013,149.4243,149.2039,41.28229,153.9183,128.2815,110.6664,136.5177,154.2001
0.0123,84.82729,81.10661,149.3401,149.2423,41.24502,153.8819,128.2583,110.5814,136.5208,154.2559
0.0124,84.82356,81.10307,149.2557,149.2806,41.20793,153.8453,128.235,110.4966,136.5239,154.311
0.0125,84.81981,81.09952,149.1713,149.3189,41.17102,153.8085,128.2118,110.4118,136.527,154.3656
0.0126,84.81607,81.09595,149.0869,149.3571,41.1343,153.7716,128.1885,110.3272,136.53,154.4195
0.0127,84.81231,81.09236,149.0024,149.3952,41.09776,153.7345,128.1653,110.2427,136.5331,154.4727
0.0128,84.80855,81.08876,148.9178,149.4332,41.0614,153.6972,128.1421,110.1584,136.5361,154.5253
0.0129,84.80478,81.08514,148.8332,149.4712,41.02523,153.6598,128.1189,110.0741,136.5391,154.5773
0.013,84.80101,81.0815,148.7485,149.509,40.98925,153.6222,128.0957,109.99,136.5421,154.6286
0.0131,84.79723,81.07785,148.6638,149.5468,40.95345,153.5844,128.0725,109.9061,136.545,154.6792
0.0132,84.79345,81.07418,148.579,149.5845,40.91783,153.5465,128.0493,109.8223,136.548,154.7292
0.0133,84.78966,81.07049,148.4941,149.6221,40.8824,153.5085,128.0262,109.7386,136.5509,154.7786
0.0134,84.78586,81.06679,148.4092,149.6596,40.84715,153.4702,128.003,109.6551,136.5538,154.8273
0.0135,84.78207,81.06307,148.3242,149.697,40.81209,153.4318,127.9799,109.5717,136.5567,154.8754
0.0136,84.77826,81.05933,148.2392,149.7344,40.77722,153.3933,127.9567,109.4885,136.5596,154.9228
0.0137,84.77446,81.05558,148.1541,149.7716,40.74254,153.3546,127.9336,109.4054,136.5624,154.9696
0.0138,84.77065,81.05181,148.0689,149.8088,40.70804,153.3157,127.9105,109.3225,136.5652,155.0158
0.0139,84.76684,81.04802,147.9837,149.8459,40.67373,153.2767,127.8874,109.2398,136.5681,155.0612
0.014,84.76302,81.04421,147.8985,149.8829,40.6396,153.2375,127.8643,109.1573,136.5708,155.1061
0.0141,84.7592,81.04039,147.8131,149.9199,40.60567,153.1982,127.8412,109.0749,136.5736,155.1503
0.0142,84.75538,81.03655,147.7278,149.9567,40.57192,153.1587,127.8181,108.9927,136.5764,155.1938
0.0143,84.75155,81.0327,147.6423,149.9934,40.53837,153.1191,127.7951,108.9106,136.5791,155.2367
0.0144,84.74773,81.02882,147.5568,150.0301,40.505,153.0793,127.772,108.8288,136.5818,155.279
0.0145,84.7439,81.02493,147.4713,150.0667,40.47182,153.0394,127.749,108.7471,136.5845,155.3206
0.0146,84.74007,81.02103,147.3857,150.1032,40.43883,152.9993,127.726,108.6656,136.5872,155.3615
