 HAT_out.csv    
 
  raw, data,
 0.3970,     0.38,
 0.3980,     0.38,
 0.3990,     0.38,
 0.4000,     0.38,
 0.4010,     0.38,
 0.4020,     0.38,
 0.4030,     0.38,
 0.4040,     0.38,
 0.4050,     0.38,
 0.4060,     0.38,
 0.4070,     0.38,
 0.4080,     0.38,
 0.4090,     0.38,
 0.4100,     0.38,
 0.4110,     0.38,
 0.4120,     0.38,
 0.4130,     0.38,
 0.4140,     0.38,
 0.4150,     0.38,
 0.4160,     0.38,
 0.4170,     0.38,
 0.4180,     0.38,
 0.4190,     0.38,
 0.4200,     0.38,
 0.4210,     0.38,
 0.4220,     0.38,
 0.4230,     0.38,
 0.4240,     0.38,
 0.4250,     0.38,
 0.4260,     0.37,
 0.4270,     0.37,
 0.4280,     0.37,
 0.4290,     0.37,
 0.4300,     0.37,
 0.4310,     0.37,
 0.4320,     0.37,
 0.4330,     0.37,
 0.4340,     0.37,
 0.4350,     0.37,
 0.4360,     0.37,
 0.4370,     0.37,
 0.4380,     0.37,
 0.4390,     0.37,
 0.4400,     0.37,
 0.4410,     0.37,
 0.4420,     0.37,
 0.4430,     0.37,
 0.4440,     0.37,
 0.4450,     0.37,
 0.4460,     0.37,
 0.4470,     0.37,
 0.4480,     0.37,
 0.4490,     0.37,
 0.4500,     0.37,
 0.4510,     0.37,
 0.4520,     0.37,
 0.4530,     0.37,
 0.4540,     0.37,
 0.4550,     0.37,
 0.4560,     0.37,
 0.4570,     0.37,
 0.4580,     0.37,
 0.4590,     0.37,
 0.4600,     0.36,
 0.4610,     0.36,
 0.4620,     0.36,
 0.4630,     0.36,
 0.4640,     0.36,
 0.4650,     0.36,
 0.4660,     0.36,
 0.4670,     0.36,
 0.4680,     0.36,
 0.4690,     0.36,
 0.4700,     0.36,
 0.4710,     0.36,
 0.4720,     0.36,
 0.4730,     0.36,
 0.4740,     0.36,
 0.4750,     0.36,
 0.4760,     0.36,
 0.4770,     0.36,
 0.4780,     0.36,
 0.4790,     0.36,
 0.4800,     0.36,
 0.4810,     0.36,
 0.4820,     0.36,
 0.4830,     0.36,
 0.4840,     0.36,
 
 ********,**********,**********,*************,****
 
  splined, angles,
 
