     485
 0.0000 0.0010 0.0020 0.0030 0.0040 0.0050 0.0060 0.0070 0.0080 0.0090 0.0100 0.0110 0.0120 0.0130 0.0140 0.0150 0.0160 0.0170 0.0180 0.0190 0.0200 0.0210 0.0220 0.0230 0.0240 0.0250 0.0260 0.0270 0.0280 0.0290 0.0300 0.0310 0.0320 0.0330 0.0340 0.0350 0.0360 0.0370 0.0380 0.0390 0.0400 0.0410 0.0420 0.0430 0.0440 0.0450 0.0460 0.0470 0.0480 0.0490 0.0500 0.0510 0.0520 0.0530 0.0540 0.0550 0.0560 0.0570 0.0580 0.0590 0.0600 0.0610 0.0620 0.0630 0.0640 0.0650 0.0660 0.0670 0.0680 0.0690 0.0700 0.0710 0.0720 0.0730 0.0740 0.0750 0.0760 0.0770 0.0780 0.0790 0.0800 0.0810 0.0820 0.0830 0.0840 0.0850 0.0860 0.0870 0.0880 0.0890 0.0900 0.0910 0.0920 0.0930 0.0940 0.0950 0.0960 0.0970 0.0980 0.0990 0.1000 0.1010 0.1020 0.1030 0.1040 0.1050 0.1060 0.1070 0.1080 0.1090 0.1100 0.1110 0.1120 0.1130 0.1140 0.1150 0.1160 0.1170 0.1180 0.1190 0.1200 0.1210 0.1220 0.1230 0.1240 0.1250 0.1260 0.1270 0.1280 0.1290 0.1300 0.1310 0.1320 0.1330 0.1340 0.1350 0.1360 0.1370 0.1380 0.1390 0.1400 0.1410 0.1420 0.1430 0.1440 0.1450 0.1460 0.1470 0.1480 0.1490 0.1500 0.1510 0.1520 0.1530 0.1540 0.1550 0.1560 0.1570 0.1580 0.1590 0.1600 0.1610 0.1620 0.1630 0.1640 0.1650 0.1660 0.1670 0.1680 0.1690 0.1700 0.1710 0.1720 0.1730 0.1740 0.1750 0.1760 0.1770 0.1780 0.1790 0.1800 0.1810 0.1820 0.1830 0.1840 0.1850 0.1860 0.1870 0.1880 0.1890 0.1900 0.1910 0.1920 0.1930 0.1940 0.1950 0.1960 0.1970 0.1980 0.1990 0.2000 0.2010 0.2020 0.2030 0.2040 0.2050 0.2060 0.2070 0.2080 0.2090 0.2100 0.2110 0.2120 0.2130 0.2140 0.2150 0.2160 0.2170 0.2180 0.2190 0.2200 0.2210 0.2220 0.2230 0.2240 0.2250 0.2260 0.2270 0.2280 0.2290 0.2300 0.2310 0.2320 0.2330 0.2340 0.2350 0.2360 0.2370 0.2380 0.2390 0.2400 0.2410 0.2420 0.2430 0.2440 0.2450 0.2460 0.2470 0.2480 0.2490 0.2500 0.2510 0.2520 0.2530 0.2540 0.2550 0.2560 0.2570 0.2580 0.2590 0.2600 0.2610 0.2620 0.2630 0.2640 0.2650 0.2660 0.2670 0.2680 0.2690 0.2700 0.2710 0.2720 0.2730 0.2740 0.2750 0.2760 0.2770 0.2780 0.2790 0.2800 0.2810 0.2820 0.2830 0.2840 0.2850 0.2860 0.2870 0.2880 0.2890 0.2900 0.2910 0.2920 0.2930 0.2940 0.2950 0.2960 0.2970 0.2980 0.2990 0.3000 0.3010 0.3020 0.3030 0.3040 0.3050 0.3060 0.3070 0.3080 0.3090 0.3100 0.3110 0.3120 0.3130 0.3140 0.3150 0.3160 0.3170 0.3180 0.3190 0.3200 0.3210 0.3220 0.3230 0.3240 0.3250 0.3260 0.3270 0.3280 0.3290 0.3300 0.3310 0.3320 0.3330 0.3340 0.3350 0.3360 0.3370 0.3380 0.3390 0.3400 0.3410 0.3420 0.3430 0.3440 0.3450 0.3460 0.3470 0.3480 0.3490 0.3500 0.3510 0.3520 0.3530 0.3540 0.3550 0.3560 0.3570 0.3580 0.3590 0.3600 0.3610 0.3620 0.3630 0.3640 0.3650 0.3660 0.3670 0.3680 0.3690 0.3700 0.3710 0.3720 0.3730 0.3740 0.3750 0.3760 0.3770 0.3780 0.3790 0.3800 0.3810 0.3820 0.3830 0.3840 0.3850 0.3860 0.3870 0.3880 0.3890 0.3900 0.3910 0.3920 0.3930 0.3940 0.3950 0.3960 0.3970 0.3980 0.3990 0.4000 0.4010 0.4020 0.4030 0.4040 0.4050 0.4060 0.4070 0.4080 0.4090 0.4100 0.4110 0.4120 0.4130 0.4140 0.4150 0.4160 0.4170 0.4180 0.4190 0.4200 0.4210 0.4220 0.4230 0.4240 0.4250 0.4260 0.4270 0.4280 0.4290 0.4300 0.4310 0.4320 0.4330 0.4340 0.4350 0.4360 0.4370 0.4380 0.4390 0.4400 0.4410 0.4420 0.4430 0.4440 0.4450 0.4460 0.4470 0.4480 0.4490 0.4500 0.4510 0.4520 0.4530 0.4540 0.4550 0.4560 0.4570 0.4580 0.4590 0.4600 0.4610 0.4620 0.4630 0.4640 0.4650 0.4660 0.4670 0.4680 0.4690 0.4700 0.4710 0.4720 0.4730 0.4740 0.4750 0.4760 0.4770 0.4780 0.4790 0.4800 0.4810 0.4820 0.4830 0.4840
   0.3535334D+00  -0.8019442D-01   0.8520775D+01   0.0000000D+00   0.0000000D+00  -0.3703950D+04
   0.3534617D+00  -0.6315289D-01   0.8520738D+01  -0.3703950D-01  -0.1851975D+02  -0.8092221D+04
   0.3534071D+00  -0.4611164D-01   0.8520435D+01  -0.1920407D+00  -0.5898085D+02  -0.1263979D+05
   0.3533695D+00  -0.2907164D-01   0.8519378D+01  -0.5543620D+00  -0.1221798D+03  -0.1683901D+05
   0.3533489D+00  -0.1203512D-01   0.8516814D+01  -0.1211471D+01  -0.2063748D+03  -0.2034495D+05
   0.3533454D+00   0.4993944D-02   0.8511737D+01  -0.2240420D+01  -0.3080996D+03  -0.2295450D+05
   0.3533589D+00   0.2200935D-01   0.8502938D+01  -0.3702364D+01  -0.4228721D+03  -0.2458449D+05
   0.3533894D+00   0.3900231D-01   0.8489048D+01  -0.5639697D+01  -0.5457946D+03  -0.2524852D+05
   0.3534369D+00   0.5596117D-01   0.8468602D+01  -0.8075360D+01  -0.6720371D+03  -0.2503568D+05
   0.3535013D+00   0.7287134D-01   0.8440093D+01  -0.1101387D+02  -0.7972156D+03  -0.2408821D+05
   0.3535826D+00   0.8971517D-01   0.8402027D+01  -0.1444361D+02  -0.9176566D+03  -0.2258108D+05
   0.3536807D+00   0.1064721D+00   0.8352965D+01  -0.1834005D+02  -0.1030562D+04  -0.2070355D+05
   0.3537955D+00   0.1231188D+00   0.8291554D+01  -0.2266933D+02  -0.1134080D+04  -0.1864264D+05
   0.3539269D+00   0.1396293D+00   0.8216555D+01  -0.2739208D+02  -0.1227293D+04  -0.1656833D+05
   0.3540747D+00   0.1559752D+00   0.8126849D+01  -0.3246693D+02  -0.1310135D+04  -0.1462148D+05
   0.3542388D+00   0.1721262D+00   0.8021442D+01  -0.3785369D+02  -0.1383242D+04  -0.1290332D+05
   0.3544189D+00   0.1880499D+00   0.7899452D+01  -0.4351569D+02  -0.1447759D+04  -0.1146928D+05
   0.3546148D+00   0.2037124D+00   0.7760104D+01  -0.4942141D+02  -0.1505105D+04  -0.1032570D+05
   0.3548263D+00   0.2190783D+00   0.7602706D+01  -0.5554509D+02  -0.1556734D+04  -0.9427188D+04
   0.3550529D+00   0.2341108D+00   0.7426636D+01  -0.6186630D+02  -0.1603870D+04  -0.8680141D+04
   0.3552944D+00   0.2487720D+00   0.7231327D+01  -0.6836858D+02  -0.1647270D+04  -0.7947234D+04
   0.3555503D+00   0.2630229D+00   0.7016258D+01  -0.7503713D+02  -0.1687006D+04  -0.7056927D+04
   0.3558202D+00   0.2768235D+00   0.6780954D+01  -0.8185573D+02  -0.1722291D+04  -0.5812955D+04
   0.3561038D+00   0.2901330D+00   0.6524995D+01  -0.8880302D+02  -0.1751356D+04  -0.4008185D+04
   0.3564003D+00   0.3029095D+00   0.6248038D+01  -0.9584852D+02  -0.1771397D+04  -0.1440343D+04
   0.3567094D+00   0.3151110D+00   0.5949849D+01  -0.1029485D+03  -0.1778598D+04   0.2071935D+04
   0.3570304D+00   0.3266947D+00   0.5630353D+01  -0.1100422D+03  -0.1768239D+04   0.6671850D+04
   0.3573626D+00   0.3376183D+00   0.5289684D+01  -0.1170484D+03  -0.1734880D+04   0.1244906D+05
   0.3577054D+00   0.3478396D+00   0.4928253D+01  -0.1238635D+03  -0.1672634D+04   0.1942690D+05
   0.3580580D+00   0.3573179D+00   0.4546822D+01  -0.1303597D+03  -0.1575500D+04   0.2755188D+05
   0.3584197D+00   0.3660143D+00   0.4146565D+01  -0.1363862D+03  -0.1437740D+04   0.3668941D+05
   0.3587898D+00   0.3738927D+00   0.3729147D+01  -0.1417703D+03  -0.1254293D+04   0.4662345D+05
   0.3591672D+00   0.3809209D+00   0.3296776D+01  -0.1463212D+03  -0.1021176D+04   0.5705985D+05
   0.3595513D+00   0.3870717D+00   0.2852256D+01  -0.1498353D+03  -0.7358767D+03   0.6763471D+05
   0.3599411D+00   0.3923241D+00   0.2399011D+01  -0.1521025D+03  -0.3977032D+03   0.7792792D+05
   0.3603356D+00   0.3966646D+00   0.1941097D+01  -0.1529140D+03  -0.8063563D+01   0.8747954D+05
   0.3607341D+00   0.4000885D+00   0.1483182D+01  -0.1520715D+03   0.4293341D+03   0.9581401D+05
   0.3611355D+00   0.4026008D+00   0.1030501D+01  -0.1493960D+03   0.9084042D+03   0.1024612D+06
   0.3615390D+00   0.4042178D+00   0.5887884D+00  -0.1447378D+03   0.1420710D+04   0.1069837D+06
   0.3619437D+00   0.4049674D+00   0.1641692D+00  -0.1379851D+03   0.1955629D+04   0.1089997D+06
   0.3623487D+00   0.4048901D+00  -0.2369623D+00  -0.1290726D+03   0.2500627D+04   0.1082026D+06
   0.3627532D+00   0.4040395D+00  -0.6080942D+00  -0.1179880D+03   0.3041640D+04   0.1043787D+06
