485,8,,,,,,
Time,HAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.357,85.19155,203.9498,106.4417,153.568,96.65183,135.7168,105.6589
0.358,85.17688,204.106,106.4766,153.2358,97.60944,135.9036,105.6715
0.359,85.1613,204.2462,106.5245,152.8708,98.57604,136.0574,105.682
0.36,85.14491,204.3706,106.5854,152.4734,99.55134,136.1818,105.6901
0.361,85.12784,204.4794,106.6591,152.0441,100.535,136.2798,105.6954
0.362,85.11021,204.5728,106.7455,151.5834,101.5268,136.3547,105.6975
0.363,85.09212,204.6511,106.8445,151.0919,102.5262,136.4094,105.6962
0.364,85.07366,204.7146,106.956,150.5704,103.5329,136.4467,105.6911
0.365,85.05493,204.7636,107.0797,150.0195,104.5465,136.4691,105.6821
0.366,85.03601,204.7982,107.2155,149.44,105.5664,136.479,105.6688
0.367,85.01699,204.819,107.3631,148.8328,106.5923,136.4784,105.6511
0.368,84.99794,204.8263,107.5223,148.1987,107.6236,136.4693,105.6288
0.369,84.97892,204.8203,107.6928,147.5386,108.6598,136.4531,105.6019
0.37,84.96001,204.8016,107.8745,146.8535,109.7004,136.4315,105.5702
0.371,84.94126,204.7705,108.0669,146.1444,110.745,136.4056,105.5338
0.372,84.92273,204.7275,108.27,145.4122,111.7929,136.3764,105.4927
0.373,84.90449,204.673,108.4833,144.6579,112.8436,136.345,105.447
0.374,84.88658,204.6075,108.7068,143.8826,113.8966,136.312,105.3967
0.375,84.86907,204.5315,108.94,143.0874,114.9515,136.2782,105.3422
0.376,84.852,204.4454,109.1827,142.2733,116.0075,136.244,105.2836
0.377,84.83541,204.3497,109.4348,141.4414,117.0642,136.2098,105.2211
0.378,84.81937,204.245,109.6959,140.5927,118.1211,136.1758,105.1553
0.379,84.80391,204.1317,109.9659,139.7284,119.1777,136.1422,105.0863
0.38,84.78906,204.0103,110.2444,138.8495,120.2334,136.1091,105.0147
0.381,84.77488,203.8813,110.5313,137.9571,121.2877,136.0762,104.9409
0.382,84.76138,203.7452,110.8263,137.0523,122.3402,136.0435,104.8654
0.383,84.74861,203.6024,111.1292,136.136,123.3904,136.0107,104.7889
0.384,84.73659,203.4534,111.4398,135.2093,124.4377,135.9775,104.7119
0.385,84.72534,203.2987,111.7578,134.2732,125.4817,135.9435,104.635
0.386,84.7149,203.1386,112.083,133.3287,126.5219,135.9084,104.5589
0.387,84.70527,202.9736,112.4152,132.3766,127.5578,135.8717,104.4842
0.388,84.69648,202.804,112.7541,131.4179,128.589,135.833,104.4115
0.389,84.68853,202.6303,113.0996,130.4535,129.615,135.792,104.3416
0.39,84.68144,202.4526,113.4513,129.4841,130.6352,135.7481,104.2751
0.391,84.6752,202.2713,113.809,128.5105,131.6491,135.7011,104.2127
0.392,84.6698,202.0867,114.1724,127.5335,132.6562,135.6506,104.1548
0.393,84.66525,201.8989,114.5412,126.5537,133.6559,135.5963,104.1021
0.394,84.66153,201.7082,114.9152,125.5718,134.6477,135.538,104.0551
0.395,84.65861,201.5148,115.294,124.5884,135.6308,135.4755,104.0142
0.396,84.65648,201.3187,115.6773,123.604,136.6048,135.4085,103.9799
0.397,84.6551,201.12,116.0648,122.619,137.569,135.3371,103.9524
0.398,84.65446,200.9188,116.4562,121.6339,138.5227,135.261,103.9321
0.399,84.6545,200.7152,116.8511,120.649,139.4652,135.1802,103.9192
0.4,84.6552,200.509,117.2491,119.6647,140.3958,135.0947,103.9138
0.401,84.65651,200.3002,117.6499,118.6813,141.3139,135.0046,103.9159
0.402,84.65838,200.0888,118.0532,117.6989,142.2187,134.9098,103.9256
0.403,84.66077,199.8746,118.4585,116.7177,143.1095,134.8104,103.9426
0.404,84.66362,199.6576,118.8655,115.738,143.9856,134.7066,103.9669
0.405,84.66688,199.4375,119.2738,114.7597,144.8463,134.5984,103.9983
0.406,84.67049,199.2142,119.6831,113.7829,145.6909,134.486,104.0364
0.407,84.6744,198.9874,120.093,112.8076,146.5188,134.3696,104.0809
0.408,84.67856,198.757,120.5031,111.8339,147.3291,134.2492,104.1314
0.409,84.6829,198.5227,120.9132,110.8617,148.1214,134.1251,104.1876
0.41,84.68737,198.2844,121.3227,109.891,148.8948,133.9974,104.2489
0.411,84.69191,198.0417,121.7315,108.9217,149.6489,133.8664,104.315
0.412,84.69647,197.7944,122.1392,107.9538,150.3831,133.7321,104.3853
0.413,84.701,197.5424,122.5455,106.9872,151.0967,133.5948,104.4593
0.414,84.70545,197.2854,122.9499,106.0218,151.7892,133.4547,104.5366
0.415,84.70977,197.0232,123.3524,105.0576,152.4602,133.3119,104.6168
0.416,84.7139,196.7555,123.7525,104.0945,153.1092,133.1665,104.6993
0.417,84.71781,196.4822,124.1501,103.1325,153.7357,133.0187,104.7838
0.418,84.72145,196.2031,124.5447,102.1714,154.3393,132.8686,104.8698
0.419,84.72479,195.9179,124.9363,101.2112,154.9197,132.7163,104.9569
0.42,84.72778,195.6266,125.3245,100.2519,155.4766,132.562,105.0448
0.421,84.73039,195.3289,125.7091,99.29351,156.0096,132.4057,105.1331
0.422,84.73259,195.0247,126.09,98.33587,156.5186,132.2475,105.2216
0.423,84.73435,194.7139,126.467,97.379,157.0033,132.0874,105.3099
0.424,84.73563,194.3963,126.8398,96.42286,157.4636,131.9254,105.3978
0.425,84.7364,194.0717,127.2084,95.46741,157.8995,131.7617,105.4852
0.426,84.73663,193.7399,127.5727,94.51265,158.3109,131.5962,105.5718
0.427,84.73629,193.401,127.9325,93.55855,158.6978,131.4288,105.6576
0.428,84.73534,193.0547,128.2877,92.6051,159.0603,131.2597,105.7423
0.429,84.73375,192.7008,128.6384,91.6523,159.3986,131.0888,105.826
0.43,84.73149,192.3393,128.9843,90.70015,159.7128,130.916,105.9086
0.431,84.72853,191.97,129.3257,89.74866,160.0033,130.7413,105.9901
0.432,84.72484,191.5928,129.6623,88.79787,160.2702,130.5648,106.0704
0.433,84.72038,191.2076,129.9944,87.8478,160.5141,130.3863,106.1497
0.434,84.71513,190.8142,130.322,86.8985,160.7353,130.2059,106.2281
0.435,84.70906,190.4125,130.645,85.95004,160.9343,130.0236,106.3055
0.436,84.70214,190.0025,130.9638,85.00249,161.1116,129.8392,106.3822
0.437,84.69435,189.584,131.2783,84.05594,161.2679,129.6529,106.4584
0.438,84.68566,189.157,131.5887,83.11051,161.4038,129.4645,106.5341
0.439,84.67605,188.7213,131.8952,82.1663,161.5199,129.2742,106.6097
0.44,84.66551,188.2769,132.198,81.22347,161.6169,129.0818,106.6853
0.441,84.65402,187.8237,132.4973,80.28218,161.6956,128.8876,106.7613
0.442,84.64156,187.3616,132.7933,79.34261,161.7567,128.6914,106.8378
0.443,84.62813,186.8906,133.0862,78.40495,161.8011,128.4933,106.9153
0.444,84.61373,186.4106,133.3763,77.46941,161.8295,128.2934,106.9939
0.445,84.59833,185.9215,133.6639,76.53624,161.8428,128.0917,107.0741
0.446,84.58195,185.4234,133.9493,75.60569,161.8419,127.8884,107.156
0.447,84.56459,184.9161,134.2326,74.67801,161.8276,127.6835,107.2402
0.448,84.54625,184.3997,134.5143,73.75351,161.8008,127.4771,107.3268
0.449,84.52694,183.8741,134.7946,72.83248,161.7625,127.2694,107.4162
0.45,84.50668,183.3393,135.0738,71.91524,161.7134,127.0605,107.5086
0.451,84.48548,182.7953,135.3523,71.00212,161.6546,126.8506,107.6042
0.452,84.46337,182.2422,135.6305,70.09348,161.5868,126.6397,107.7034
0.453,84.44037,181.6798,135.9086,69.18968,161.511,126.428,107.8062
0.454,84.41652,181.1082,136.1871,68.29108,161.428,126.2158,107.9128
0.455,84.39183,180.5275,136.4663,67.39809,161.3387,126.0032,108.0232
0.456,84.36636,179.9378,136.7465,66.51108,161.244,125.7903,108.1375
0.457,84.34012,179.339,137.0281,65.63046,161.1445,125.5773,108.2555
0.458,84.31318,178.7312,137.3116,64.75665,161.0412,125.3644,108.377
0.459,84.28556,178.1145,137.5971,63.89005,160.9346,125.1517,108.5019
0.46,84.25731,177.489,137.8852,63.0311,160.8255,124.9395,108.6297
0.461,84.22847,176.8548,138.1761,62.18021,160.7145,124.7278,108.76
0.462,84.1991,176.2121,138.4703,61.33782,160.6023,124.5167,108.892
0.463,84.16924,175.5608,138.768,60.50436,160.4892,124.3065,109.0251
0.464,84.13894,174.9013,139.0695,59.68024,160.3757,124.0973,109.1583
0.465,84.10825,174.2336,139.3753,58.8659,160.2622,123.8891,109.2905
0.466,84.07722,173.5579,139.6855,58.06176,160.1489,123.682,109.4206
0.467,84.04591,172.8743,140.0005,57.26823,160.0361,123.4761,109.5471
0.468,84.01434,172.1832,140.3206,56.48572,159.9239,123.2714,109.6684
0.469,83.98259,171.4845,140.6458,55.71463,159.8122,123.068,109.7828
0.47,83.95068,170.7786,140.9765,54.95535,159.7009,122.8658,109.8884
0.471,83.91866,170.0656,141.3128,54.20827,159.5899,122.6648,109.9831
0.472,83.88656,169.3456,141.6548,53.47375,159.4787,122.4649,110.0647
0.473,83.85441,168.619,142.0026,52.75214,159.367,122.2662,110.1306
0.474,83.82223,167.8859,142.3561,52.04378,159.2542,122.0683,110.1785
0.475,83.79004,167.1464,142.7155,51.349,159.1397,121.8713,110.2056
0.476,83.75784,166.4007,143.0805,50.66811,159.0226,121.675,110.2092
0.477,83.72564,165.6491,143.4511,50.0014,158.9023,121.4792,110.1866
0.478,83.69343,164.8916,143.8271,49.34915,158.7776,121.2838,110.1348
0.479,83.66118,164.1284,144.2083,48.71162,158.6476,121.0885,110.0512
0.48,83.62889,163.3596,144.5942,48.08907,158.5113,120.8932,109.933
0.481,83.59651,162.5854,144.9847,47.48172,158.3675,120.6978,109.7777
0.482,83.56402,161.8058,145.3792,46.8898,158.2151,120.5019,109.5829
0.483,83.53138,161.0211,145.7774,46.31351,158.053,120.3055,109.3468
0.484,83.49853,160.2312,146.1786,45.75304,157.8801,120.1084,109.0681
