 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  4.10000E-02  -3.20647E+02   2.51863E+03   1.61349E+02   1.39483E+02   1.10260E+02  -2.45206E+00   1.00324E+00   1.48291E-01
  4.20000E-02  -2.11599E+02   2.53817E+03   1.61846E+02   1.39242E+02   1.10106E+02   3.17504E+00   1.00340E+00   1.74843E-01
  4.30000E-02  -1.06488E+02   2.54483E+03   1.62363E+02   1.39027E+02   1.09955E+02   8.63006E+00   1.00359E+00   2.00836E-01
  4.40000E-02  -1.40663E+01   2.52884E+03   1.62902E+02   1.38839E+02   1.09806E+02   1.38708E+01   1.00381E+00   2.26249E-01
  4.50000E-02   6.24131E+01   2.49136E+03   1.63462E+02   1.38677E+02   1.09658E+02   1.88576E+01   1.00405E+00   2.51067E-01
  4.60000E-02   1.22621E+02   2.44293E+03   1.64043E+02   1.38543E+02   1.09512E+02   2.35536E+01   1.00431E+00   2.75276E-01
  4.70000E-02   1.66237E+02   2.39909E+03   1.64645E+02   1.38436E+02   1.09368E+02   2.79256E+01   1.00460E+00   2.98868E-01
  4.80000E-02   1.91315E+02   2.37429E+03   1.65267E+02   1.38356E+02   1.09224E+02   3.19436E+01   1.00491E+00   3.21835E-01
  4.90000E-02   1.94776E+02   2.37619E+03   1.65910E+02   1.38305E+02   1.09082E+02   3.55822E+01   1.00525E+00   3.44167E-01
  5.00000E-02   1.74693E+02   2.40247E+03   1.66572E+02   1.38281E+02   1.08940E+02   3.88203E+01   1.00560E+00   3.65856E-01
  5.10000E-02   1.33113E+02   2.44179E+03   1.67253E+02   1.38286E+02   1.08799E+02   4.16414E+01   1.00598E+00   3.86893E-01
  5.20000E-02   7.78945E+01   2.47873E+03   1.67952E+02   1.38319E+02   1.08659E+02   4.40337E+01   1.00638E+00   4.07265E-01
  5.30000E-02   2.24474E+01   2.50072E+03   1.68670E+02   1.38381E+02   1.08519E+02   4.59893E+01   1.00680E+00   4.26959E-01
  5.40000E-02  -1.70020E+01   2.50371E+03   1.69404E+02   1.38472E+02   1.08380E+02   4.75037E+01   1.00723E+00   4.45963E-01
