485,6,,,,
Time,HATAngles,LHipAngles,LKneeAngles,LAnkleAngles,LMTPAngles
0,81.45786,147.0548,155.1323,120.3825,146.4633
0.001,81.43261,147.46,154.9408,119.6277,147.5043
0.002,81.40711,147.8652,154.736,118.8329,148.5264
0.003,81.38125,148.2697,154.5171,118.0026,149.5215
0.004,81.35487,148.6726,154.2834,117.1417,150.4826
0.005,81.32785,149.0729,154.0345,116.2552,151.4039
0.006,81.30004,149.47,153.7699,115.3484,152.2801
0.007,81.2713,149.8627,153.4894,114.4268,153.1068
0.008,81.2415,150.2503,153.1928,113.4957,153.8797
0.009,81.2105,150.632,152.88,112.5604,154.5948
0.01,81.17818,151.007,152.551,111.626,155.2491
0.011,81.14444,151.3746,152.206,110.6975,155.8398
0.012,81.10918,151.7342,151.8451,109.7793,156.365
0.013,81.07232,152.0853,151.4686,108.8755,156.8236
0.014,81.03382,152.4276,151.0769,107.9898,157.2154
0.015,80.99365,152.761,150.6705,107.1251,157.5409
0.016,80.95179,153.0856,150.2501,106.2842,157.8008
0.017,80.90826,153.4014,149.8164,105.469,157.9969
0.018,80.86311,153.709,149.3704,104.6812,158.1307
0.019,80.81641,154.0089,148.9132,103.9219,158.2045
0.02,80.76824,154.3019,148.4459,103.192,158.2205
0.021,80.71872,154.589,147.9702,102.492,158.1812
0.022,80.66802,154.8712,147.4873,101.822,158.0892
0.023,80.61629,155.1499,146.9992,101.182,157.9472
0.024,80.56375,155.4265,146.5075,100.5719,157.7578
0.025,80.51061,155.7024,146.0142,99.99133,157.5235
0.026,80.45714,155.9793,145.5212,99.43996,157.2469
0.027,80.4036,156.2588,145.0305,98.91729,156.9304
0.028,80.35031,156.5427,144.5442,98.42286,156.5762
0.029,80.29757,156.8327,144.0643,97.95615,156.1865
0.03,80.24572,157.1305,143.593,97.51669,155.7636
0.031,80.19511,157.438,143.1322,97.10402,155.3092
0.032,80.1461,157.7566,142.684,96.71776,154.8254
0.033,80.09906,158.0881,142.2502,96.35755,154.3136
0.034,80.05436,158.4338,141.8325,96.02312,153.7755
0.035,80.01237,158.7952,141.4327,95.71427,153.2125
