485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.072,87.08418,82.47515,107.7926,184.108,55.41707,147.5644,106.1996,88.86325
0.073,87.14716,82.64237,107.5387,185.0204,56.10687,148.0812,106.0925,89.71272
0.074,87.20708,82.81098,107.2979,185.9304,56.80379,148.614,105.991,90.62289
0.075,87.26381,82.98047,107.0693,186.837,57.50764,149.1611,105.8952,91.59394
0.076,87.31723,83.15033,106.8522,187.7387,58.21823,149.7207,105.8055,92.62576
0.077,87.3672,83.32005,106.6459,188.6346,58.93538,150.2911,105.722,93.71791
0.078,87.41361,83.4891,106.4495,189.5232,59.65893,150.87,105.6448,94.86956
0.079,87.45636,83.65698,106.2623,190.4033,60.3887,151.4554,105.5741,96.07946
0.08,87.49536,83.82317,106.0836,191.2736,61.12456,152.045,105.5099,97.34591
0.081,87.53051,83.98719,105.9127,192.133,61.86637,152.6365,105.4522,98.66668
0.082,87.56177,84.14855,105.7488,192.98,62.61398,153.2276,105.4009,100.039
0.083,87.58909,84.30677,105.5914,193.8135,63.36729,153.8159,105.3558,101.4596
0.084,87.61243,84.46142,105.4399,194.6324,64.12619,154.3989,105.3168,102.9245
0.085,87.63181,84.61205,105.2938,195.4353,64.89061,154.9742,105.2836,104.4292
0.086,87.64724,84.75826,105.1525,196.2214,65.66048,155.5394,105.2559,105.9685
0.087,87.65877,84.89967,105.0156,196.9894,66.43576,156.0923,105.2334,107.5369
0.088,87.66648,85.03593,104.8828,197.7384,67.21644,156.6304,105.2158,109.128
0.089,87.67047,85.1667,104.7537,198.4675,68.00253,157.1517,105.2026,110.7352
0.09,87.67086,85.2917,104.6281,199.1759,68.79404,157.6538,105.1934,112.3515
0.091,87.66781,85.41066,104.5058,199.8628,69.59104,158.1348,105.1877,113.9694
0.092,87.6615,85.52334,104.3866,200.5275,70.39362,158.5928,105.1851,115.5815
0.093,87.65212,85.62955,104.2706,201.1694,71.20186,159.0257,105.185,117.1803
0.094,87.63989,85.7291,104.1576,201.7881,72.0159,159.432,105.1869,118.7581
0.095,87.62506,85.82187,104.0476,202.383,72.8359,159.8099,105.1903,120.3077
0.096,87.60787,85.90774,103.9409,202.9538,73.66204,160.1579,105.1949,121.822
0.097,87.58859,85.98664,103.8375,203.5001,74.49451,160.4745,105.2,123.2943
0.098,87.56749,86.05853,103.7376,204.0217,75.33354,160.7583,105.2053,124.7185
0.099,87.54483,86.12339,103.6415,204.5185,76.17938,161.0081,105.2104,126.089
0.1,87.5209,86.18123,103.5493,204.9903,77.03229,161.2227,105.2148,127.4008
0.101,87.49597,86.23211,103.4616,205.437,77.89254,161.401,105.2183,128.6495
0.102,87.47029,86.27608,103.3786,205.8587,78.76043,161.5421,105.2205,129.8314
0.103,87.44412,86.31326,103.3007,206.2553,79.63626,161.6452,105.2212,130.9437
0.104,87.4177,86.34376,103.2284,206.627,80.52034,161.7093,105.2201,131.9842
